ID,Use Case,Actors,Use Case Description
UC-01,Đăng ký tài khoản,Customer,"Người dùng tạo tài khoản mới trên Customer App với email, mật khẩu, họ tên và số điện thoại. Hệ thống lưu vào PostgreSQL và gán role customer."
UC-02,Đăng nhập,Customer,"Khách hàng đăng nhập bằng email/mật khẩu. Hệ thống xác thực và trả JWT để gọi API."
UC-03,Quên mật khẩu,Customer,"Người dùng yêu cầu đặt lại mật khẩu qua email. Hệ thống gửi OTP; người dùng nhập OTP và mật khẩu mới."
UC-04,Xem trang chủ,Customer,"Xem dashboard với các lối tắt: đặt chuyển trọ, combo, khuân vác, Pass đồ, so sánh nhà xe, khuyến mãi và hoạt động gần đây."
UC-05,Tìm / duyệt nhà xe,Customer,"Duyệt danh sách nhà xe đã xác minh, lọc theo giá, rating, khoảng cách và sắp xếp trước khi chọn đối tác."
UC-06,Nhập địa chỉ đi/đến,Customer,"Nhập hoặc chọn điểm lấy và giao trên bản đồ. Hệ thống gợi ý địa điểm gần đây và tính khoảng cách tuyến."
UC-07,Chọn lịch chuyển trọ,Customer,"Chọn ngày giờ vận chuyển và nhập chi tiết ký túc xá (đồ đạc, tầng, thang máy)."
UC-08,Chọn gói combo dịch vụ,Customer,"Chọn gói combo (Economy/Standard/Premium) gồm xe và nhân công khuân vác với giá niêm yết."
UC-09,Nhập thông tin đồ đạc,Customer,"Mô tả đồ cần chuyển (tủ, tủ lạnh, bàn ghế, thùng carton) để ước tính giá và loại xe."
UC-10,Xem giá dịch vụ,Customer,"Xem bảng giá dự kiến: cước cơ bản, khoảng cách, phí tầng, khuân vác, bảo hiểm, giảm giá và tiền cọc."
UC-11,Đặt đơn hàng,Customer,"Xác nhận và tạo đơn vận chuyển gắn với nhà xe, gói dịch vụ, địa chỉ và giá. Trạng thái ban đầu: pending."
UC-12,Thanh toán đặt cọc,Customer; Payment Service (PayOS),"Thanh toán cọc (thường 30%) qua PayOS QR/link. Webhook xác nhận; đơn chuyển sang ghép nhà xe."
UC-13,Theo dõi đơn hàng,Customer,"Theo dõi vòng đời đơn: pending, accepted, picking up, in progress, completed, cancelled."
