STT,Nhóm chức năng,Mã BE,Use Case,Tên API,Method,Path đầy đủ,Auth,Trạng thái BE,Luồng người dùng & mô tả API,Flutter Repository,Màn hình / Route Flutter,Query params,Request body,Response data,Mã lỗi HTTP,Độ ưu tiên,Ghi chú kỹ thuật (dev)
F1,LUỒNG NGHIỆP VỤ,PASS-ALL,UC-Pass,Pass đồ — luồng end-to-end,—,(nhiều API),Bearer,—,"【Luồng Pass đồ — khớp app hiện tại】
NGƯỜI MUA: Trang chủ → «Pass đồ cũ» (/pass-items, tab Khám phá) → chi tiết tin → «Tôi muốn nhận» (hoặc «Vào chat thương lượng») → /pass-items/:id/chat → thương lượng → CHỜ người bán «Chốt đơn» trong chat → mới hiện «Đặt xe lấy đồ» → màn «Chở đồ về nhà» (/booking/location, pickup = khu vực tin) → «Tiếp tục» (gọi transport-booked) → Combo chuyển trọ → Chọn nhà xe → Bảo hiểm → Thanh toán cọc → Theo dõi đơn.
NGƯỜI BÁN: /pass-items tab «Tin của tôi» → đăng tin (/pass-items/new) → chi tiết tin của mình → «Người quan tâm» / «N khách — mở danh sách chat» → /pass-items/:id/chat (chọn ?buyer=) → thương lượng → «Chốt đơn». «Huỷ chốt» chỉ khi khách CHƯA bấm Tiếp tục đặt xe (buyer_transport_booked = false).",pass_item_repository + booking_flow_cubit,/pass-items/* + /booking/*,,,,,P0,"Đọc pass_item_detail_page, pass_item_chat_page, choose_location_page trước khi nối API."
F2,LUỒNG NGHIỆP VỤ,BOOK-ALL,UC-06–11,Đặt chuyến chuyển trọ — luồng end-to-end,—,(nhiều API),Bearer,—,"【Luồng đặt chuyến — khớp HomeShell + router】
App có 4 tab dưới: Trang chủ | Thanh toán | Hoạt động | Tin nhắn (thông báo/khuyến mãi, KHÔNG phải chat nhà xe).

A) «Đặt chuyến» (Trang chủ): /booking/location → «Tiếp tục» → /booking/packages → «Chọn nhà xe» → /booking/partners → /booking/insurance → /booking/payment → /orders/:id/tracking.
B) Card «Combo chuyển trọ» lớn: vào /booking/packages TRƯỚC (có thể sửa địa điểm) → partners → insurance → payment.
C) «So sánh nhà xe»: /booking/partners thẳng → insurance → payment.
D) «Khuân vác»: /booking/labor → /booking/location → /booking/labor/configure → /booking/payment (không qua combo/nhà xe/bảo hiểm).
E) Sau Pass đồ chốt: /booking/location (Chở đồ về nhà) → packages → … như A.
Lưu ý: hầu hết bước đang dùng mock repository; API trong sheet là mục tiêu khi nối backend.",booking_flow_cubit + customer_orders_repository,/booking/*,,,,,P0,State giữ toàn bộ trong BookingFlowCubit — map field sang POST /orders.
1,Hệ thống,,UC-64,Kiểm tra API sống,GET,/api/health,Public,Đã có,API kiểm tra server còn chạy không. Người dùng thường không thấy bước này — dev có thể gọi lúc mở app để biết backend sống. Xong thì app vẫn tiếp tục bình thường (đăng nhập hoặc vào Trang chủ).,,/ (optional),,,service; timestamp,200,P2,Tùy chọn: ApiClient.healthCheck() — không bắt buộc cho release.
2,Xác thực,BE-001,UC-01,Đăng ký tài khoản,POST,/api/auth/register,Public,Đã có,"Người dùng chưa có tài khoản: vào màn Đăng ký → điền email, mật khẩu, họ tên, số điện thoại → bấm «Đăng ký». App gọi API này để tạo tài khoản khách hàng. Thành công: app lưu đăng nhập (token) → chuyển Trang chủ (hoặc báo «kiểm tra email» nếu bật xác thực email, khi đó phải xác thực xong mới đăng nhập được). Thất bại: email đã dùng → báo lỗi, ở lại màn Đăng ký.",customer_auth_repository.dart → signUp(),/register,,email; password; full_name; phone; role=customer,user; accessToken,400; 422,P0,Map response → Profile model. Không lưu password. Handle message tiếng Việt từ BE.
3,Xác thực,BE-003,UC-02,Đăng nhập email/MK,POST,/api/auth/login,Public,Đã có,"Người dùng đã có tài khoản: màn Đăng nhập → nhập email + mật khẩu → bấm «Đăng nhập». API kiểm tra đúng/sai. Đúng: nhớ đăng nhập → vào Trang chủ. Sai: báo «Email hoặc mật khẩu không đúng», ở lại màn Đăng nhập. Chưa xác thực email (nếu có): báo riêng, không cho vào app.",customer_auth_repository.dart → signIn(),/login,,email; password,user; accessToken,401; 403,P0,Tách lỗi 401 vs 403 cho message rõ.
4,Xác thực,BE-004,UC-02,Đăng nhập Google,POST,/api/auth/google,Public,Đã có,"Cùng màn Đăng nhập: người dùng bấm «Tiếp tục với Google» → chọn tài khoản Google trên điện thoại. App lấy token Google gửi API này. Lần đầu: tạo tài khoản UniMove từ thông tin Google. Lần sau: đăng nhập như email. Thành công → Trang chủ. Hủy chọn Google → không gọi API, vẫn ở màn Đăng nhập.",customer_auth_repository.dart + google_sign_in_service.dart,/login,,id_token,user; accessToken,401; 403,P0,"Chỉ gửi id_token, không gửi access token OAuth khác."
5,Xác thực,BE-003,UC-02,Profile từ JWT,GET,/api/auth/me,Bearer,Đã có,"【App hiện tại】Màn Splash (~4 giây) KHÔNG gọi API — chỉ kiểm tra: đã xem onboarding chưa → đã lưu token trên máy chưa → đi /onboarding (lần đầu) | /home (có token) | /login.
【Khi nối API】Có thể gọi GET /auth/me hoặc /customers/me ngay trên Splash để làm mới profile trước khi vào /home; 401 thì xóa token → /login.",customer_auth_repository.dart → getCurrentUser(),/ (splash),,,Profile,401,P0,"Ưu tiên GET /customers/me cho đủ field (loyalty, total_orders). /auth/me là fallback."
6,Xác thực,BE-007,UC-03,Quên MK — gửi OTP,POST,/api/auth/forgot-password,Public,Đã có,"Người dùng quên mật khẩu: từ Đăng nhập → «Quên mật khẩu» → nhập email → bấm «Gửi». API gửi mã/ link về email. App báo «Đã gửi hướng dẫn» → chuyển sang màn Đặt lại mật khẩu (dù email có tồn tại hay không, để bảo mật).",customer_auth_repository.dart,/forgot-password,,email,message,—,P1,Không báo lỗi “email không tồn tại” trên UI production.
7,Xác thực,BE-007,UC-03,Reset MK bằng OTP,POST,/api/auth/reset-password,Public,Đã có,"Tiếp bước quên MK: người dùng nhập email, mã OTP (trong email), mật khẩu mới → bấm «Xác nhận». API đổi mật khẩu. Thành công → về màn Đăng nhập + báo đổi MK thành công → đăng nhập lại bằng MK mới. OTP sai → báo lỗi tại ô mã.",customer_auth_repository.dart,/reset-password,,email; otp/token; new_password,message,400,P1,Hỗ trợ cả field otp và token theo BE.
8,Xác thực,BE-006,UC-18,Đổi MK đã đăng nhập,POST,/api/auth/change-password,Bearer,Đã có,"Người dùng đã đăng nhập: Cá nhân → «Đổi mật khẩu» → nhập MK cũ, MK mới, nhập lại MK mới → Lưu. API xác nhận MK cũ đúng rồi đổi. Thành công → báo «Đã đổi» → quay lại Cá nhân (vẫn đăng nhập). MK cũ sai → báo lỗi.",customer_auth_repository.dart,/change-password,,old_password; new_password,message,400,P1,Field BE có thể là current_password — map đúng contract nodejs-api.
