#,Feature,Screen,Description
1,Authentication,Splash Screen,Displays UniMove branding while the app checks session state and routes the user to onboarding login or home.
2,Authentication,Onboarding,Introduces UniMove services and guides first-time users through key platform capabilities before sign-in.
3,Authentication,Login,Allows customers to sign in with email and password or Google OAuth.
4,Authentication,Register,Allows new customers to create an account with email password full name and phone number.
5,Authentication,Forgot Password,Lets users request a password reset link or OTP sent to their registered email.
6,Authentication,Reset Password,Lets users enter OTP and set a new password after a forgot-password request.
7,Home,Home Shell,Main bottom-navigation container with tabs for Home Payments Activity and Messages.
8,Home,Home Tab,Shows quick actions banners featured providers recent orders and entry points for booking combo labor and Pass đồ.
9,Home,Payments Tab,Lists payment history wallet balance and shortcuts to payment settings and saved methods.
10,Home,Activity Tab,Shows active and recent orders with status badges and navigation to tracking or order detail.
11,Home,Messages Tab,Lists order and marketplace conversations with unread indicators.
12,Profile,Profile,Displays customer account summary avatar contact info and links to edit profile change password and order history.
13,Profile,Edit Profile,Lets customers update personal details student ID university phone and avatar.
14,Profile,Change Password,Lets authenticated customers change password by entering current and new password.
15,Profile,Order History,Lists past and current transport orders with filters and links to tracking or review.
16,Move Booking,Choose Location,Lets customers enter or select pickup and delivery addresses on the map with recent-place suggestions.
17,Move Booking,Move Dorm Details,Collects move context such as dorm details item list floors and elevator availability.
18,Move Booking,Move Schedule,Lets customers select pickup date and time for the transport booking.
19,Move Booking,Service Packages,Displays combo packages (Economy Standard Premium) with bundled transport and labor pricing.
20,Move Booking,Choose Partner,Lists verified transport providers with filters for price rating and distance for standard bookings.
21,Move Booking,Reference Prices,Shows reference pricing guide to help customers understand expected move costs before booking.
22,Move Booking,Insurance Selection,Lets customers choose cargo insurance plan before checkout.
23,Move Booking,Payment,Shows order summary price breakdown promotion code entry and PayOS deposit payment.
24,Quotation Flow,Quote Progress,Tracks quotation-based booking status from submission through provider responses.
25,Quotation Flow,Provider Quote Detail,Displays a single provider quote with price breakdown and accept or reject actions.
26,Quotation Flow,Quote Move Schedule,Lets customers set pickup schedule after a provider quote is accepted.
27,Labor Service,Labor Service Entry,Entry screen to book standalone loading/unloading labor service.
28,Labor Service,Labor Order Picker,Lets customers select an existing move order to attach labor service to.
29,Labor Service,Labor Configure,Configures labor details such as number of helpers hours and floor access.
30,Labor Service,Labor Providers,Lists labor providers available for the configured labor request.
31,Order Management,Order Tracking,Shows live order status timeline map with provider location and ETA during active transport.
32,Order Management,Review Trip,Lets customers rate the provider and submit a written review after order completion.
33,Payments,Financial Settings,Central payment settings screen with links to payment methods and transaction preferences.
34,Payments,Payment Methods,Lists saved payment methods such as card Momo and PayOS-linked options.
35,Payments,Add Payment Method,Lets customers choose a payment method type to add to their account.
36,Payments,Add Card,Lets customers enter card details to save a payment method.
37,Payments,Link Payment Method,Guides customers through linking an external wallet or PayOS payment method.
38,Payments,Payment Detail,Shows detail of a single payment transaction including amount status and PayOS reference.
39,Notifications,Notification Detail,Displays full content of a system or order notification and marks it as read.
40,Pass đồ Marketplace,Marketplace Home,Student marketplace with Explore Favorites and My Listings tabs for browsing and managing Pass đồ items.
41,Pass đồ Marketplace,Create Listing,Lets sellers post a used-item listing with photos category condition pickup area and price.
42,Pass đồ Marketplace,Listing Fee Payment,Handles PayOS payment when a listing fee is required before the post goes public.
43,Pass đồ Marketplace,Listing Detail,Shows item photos description price deal status and buyer/seller action buttons.
44,Pass đồ Marketplace,Listing Chat,Supports negotiation chat between buyer and seller including price proposals and deal confirmation.
45,Pass đồ Marketplace,Seller Profile,Displays seller reputation stats ratings and active listings on the marketplace.
46,Pass đồ Marketplace,Pass Item Transport Options,Lets buyer choose delivery address and transport type (combo or standard) after deal confirmation.
47,Provider Authentication,Splash Screen,Displays branding while checking provider session and routing to login or home.
