ID,Use Case,Actors,Use Case Description
UC-01,Register account,Customer,"User creates a new UniMove account via the Customer Mobile App with email, password, full name, and phone number. The system stores credentials in PostgreSQL and assigns the customer role."
UC-02,Log in,Customer,"Registered customer signs in with email and password. The system validates credentials and returns a JWT access token for authenticated API requests."
UC-03,Forgot password,Customer,"User requests a password reset via email. The system sends an OTP; the user enters the OTP and a new password to complete the reset."
UC-04,Log in with Google,Customer; Google Authentication Service,"User signs up or signs in using Google OAuth. The system creates or links a user profile from the Google identity."
UC-05,Manage profile,Customer,"Customer views and updates profile information such as full name, phone, student ID, university, and avatar. Email and role cannot be changed through the profile API."
UC-06,View home and onboarding,Customer,"First-time users complete onboarding screens explaining UniMove services. Returning users view the home dashboard with shortcuts for booking, combo packages, labor service, Pass đồ marketplace, and recent activity."
UC-07,Browse transport providers,Customer,"Customer browses verified transport providers with filters for price, rating, and distance, then sorts results before selecting a partner."
UC-08,Enter pickup and delivery addresses,Customer,"Customer enters or selects pickup and delivery locations on the map. The system may suggest recent places from order history and validate route distance."
UC-09,Select move schedule and dorm details,Customer,"Customer selects the scheduled pickup date and time and enters dorm or move details such as items, floors, and elevator availability."
UC-10,Select service package,Customer,"Customer chooses a transport package, including combo packages (Economy, Standard, Premium) or standard partner-based service options."
UC-11,Enter item and move details,Customer,"Customer describes items to be moved (furniture, appliances, boxes) to help estimate price and required vehicle size."
UC-12,Select cargo insurance,Customer,"Customer selects a cargo insurance plan (none, basic, standard, or premium) before checkout on a move booking."
UC-13,Book labor service,Customer,"Customer books standalone labor (loading/unloading) or adds labor to an existing move order by configuring helpers, hours, and floors."
UC-14,View estimated price,Customer,"System calculates and displays a price breakdown including base fare, distance, floor fees, labor, insurance, discounts, and deposit amount."
UC-15,Create transport order,Customer,"Customer confirms booking details and creates a transport order linked to the selected provider, package, addresses, and pricing. Initial order status is pending."
UC-16,Accept provider quote,Customer,"For quotation-based bookings, customer reviews provider quotes and accepts one offer before proceeding to payment."
UC-17,View provider detail,Customer,"Customer views a detailed provider profile including service packages, rating summary, and recent reviews before selection."
UC-18,View recent places and reference prices,Customer,"Customer reuses recent pickup or delivery addresses from order history and views reference pricing guides before booking."
UC-19,Apply promotion code,Customer,"Customer enters a promotion code at payment. The system validates the code and applies the discount to the order total."
UC-20,Pay deposit,Customer; Payment Service (PayOS),"Customer pays the deposit (typically 30%) via PayOS QR code or payment link. PayOS webhook confirms payment and the order proceeds to provider matching."
UC-21,Track order status,Customer,"Customer monitors the order lifecycle including pending, accepted, picking up, in progress, completed, and cancelled states."
UC-22,View real-time location,Customer; Provider,"During an active order, the customer views the provider location on Google Maps. The provider app sends GPS updates and the system refreshes ETA."
UC-23,Chat with provider on order,Customer; Provider,"Customer and provider exchange real-time messages on an active transport order. Message history is stored in the database."
UC-24,Cancel order,Customer,"Customer cancels an order according to platform policy. The system shows refund estimate and updates order and payment status."
UC-25,Rate provider,Customer,"After order completion, the customer submits a star rating and review comment for the assigned provider."
UC-26,View order history,Customer,"Customer views past and active orders, filters by status, and opens order detail or tracking screens."
UC-27,Manage payment methods,Customer,"Customer views and manages saved payment methods, wallet balance, and payment history in the Payments section."
UC-28,Receive notifications,Customer,"Customer receives in-app and push notifications for order updates, chat messages, Pass đồ deals, and promotions."
UC-29,Browse Pass đồ marketplace,Customer (Buyer),"Buyer browses peer-to-peer used-item listings on the student marketplace with filters by province, category, and keyword."
UC-30,Create Pass đồ listing,Customer (Seller),"Seller posts a listing with title, description, images, category, condition, pickup area, and price (free or negotiable)."
